"全片镜号","集","段","镜","全片开始秒","集内开始秒","集内结束秒","段内开始秒","设计时长","H3兜底生成秒","景别","运镜","人物","道具","中文内容","首帧","可选尾帧","目标视频文件","字幕/对白","声音","后期叠加","剪辑备注"
"51","2","E02-05","2","152","47.5","51","2","3.5","4","特写","拉镜","程野","无核心道具","动作：程野松开椅背。；程野：“被我扔回水里了。”（负疚，句尾收短）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f3.png","generated-videos/E02-05/E02-05-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-05/镜2","参见 offline-production/sound-music-cues.csv：E02-05","无","可用首尾帧约束；按设计时长回切"
"52","2","E02-05","3","155.5","51","54","5.5","3","3","中景","左摇","许知遥、程野","无核心道具","许知遥：“谁让你扔的？”（声音发硬）；动作：程野看向桌上的父亲旧照。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f4.png","generated-videos/E02-05/E02-05-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-05/镜3","参见 offline-production/sound-music-cues.csv：E02-05","无","可用首尾帧约束；按设计时长回切"
"53","2","E02-05","4","158.5","54","56","8.5","2","2","特写","固定","程野","无核心道具","程野：“许叔。”（很轻）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f4.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f5.png","generated-videos/E02-05/E02-05-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-05/镜4","参见 offline-production/sound-music-cues.csv：E02-05","无","可用首尾帧约束；按设计时长回切"
"54","2","E02-05","5","160.5","56","59.5","10.5","3.5","4","中景","跟拍","许知遥、程野","黄铜船钥匙","动作：许知遥抓起黄铜钥匙。；许知遥：“去货仓。现在。”（果断）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f5.png","","generated-videos/E02-05/E02-05-f5-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-05/镜5","参见 offline-production/sound-music-cues.csv：E02-05","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"55","2","E02-06","1","164","59.5","62.5","0","3","3","全景","跟拍","许知遥、程野","黄铜船钥匙","动作：许知遥快步走到货仓钢门前。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f2.png","generated-videos/E02-06/E02-06-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-06/镜1","参见 offline-production/sound-music-cues.csv：E02-06","无","可用首尾帧约束；按设计时长回切"
"56","2","E02-06","2","167","62.5","66","3","3.5","4","大特写","推镜","许知遥","黄铜船钥匙","动作：她把黄铜钥匙插进新挂锁。；动作：钥匙无法转动。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f3.png","generated-videos/E02-06/E02-06-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-06/镜2","参见 offline-production/sound-music-cues.csv：E02-06","无","可用首尾帧约束；按设计时长回切"
"57","2","E02-06","3","170.5","66","68","6.5","2","2","特写","固定","许知遥","黄铜船钥匙","许知遥：“锁是后来换的。”（迅速判断）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f4.png","generated-videos/E02-06/E02-06-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-06/镜3","参见 offline-production/sound-music-cues.csv：E02-06","无","可用首尾帧约束；按设计时长回切"
"58","2","E02-06","4","172.5","68","70.5","8.5","2.5","3","中景","右摇","程野","无核心道具","动作：程野推开虚掩的侧门。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f4.png","","generated-videos/E02-06/E02-06-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-06/镜4","参见 offline-production/sound-music-cues.csv：E02-06","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"59","2","E02-07","1","175","70.5","73.5","0","3","3","全景","跟拍","许知遥、程野","橙色应急电台、黄铜船钥匙","动作：两人进入昏暗货仓。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f2.png","generated-videos/E02-07/E02-07-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-07/镜1","参见 offline-production/sound-music-cues.csv：E02-07","无","可用首尾帧约束；按设计时长回切"
"60","2","E02-07","2","178","73.5","77.5","3","4","4","大特写","推镜","无实体人物","橙色应急电台","动作：后墙报警器亮起琥珀灯。；动作：蜂鸣与电台录音重叠。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f3.png","generated-videos/E02-07/E02-07-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-07/镜2","参见 offline-production/sound-music-cues.csv：E02-07","无","可用首尾帧约束；按设计时长回切"
"61","2","E02-07","3","182","77.5","79.5","7","2","2","特写","固定","程野","橙色应急电台","程野：“就是这个声音。”（确认）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-07\f3.png","","generated-videos/E02-07/E02-07-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-07/镜3","参见 offline-production/sound-music-cues.csv：E02-07","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"62","2","E02-08","1","184","79.5","82","0","2.5","3","中景","跟拍","许知遥、程野","黄铜船钥匙","动作：许知遥走到嵌墙消防柜前。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f2.png","generated-videos/E02-08/E02-08-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-08/镜1","参见 offline-production/sound-music-cues.csv：E02-08","无","可用首尾帧约束；按设计时长回切"
"63","2","E02-08","2","186.5","82","85.5","2.5","3.5","4","大特写","推镜","许知遥","黄铜船钥匙","动作：她把钥匙插进消防柜锁孔。；动作：消防柜门弹开。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f3.png","generated-videos/E02-08/E02-08-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-08/镜2","参见 offline-production/sound-music-cues.csv：E02-08","无","可用首尾帧约束；按设计时长回切"
"64","2","E02-08","3","190","85.5","87.5","6","2","2","特写","固定","许知遥","黄铜船钥匙","许知遥：“它开的是这里。”（意外）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f4.png","generated-videos/E02-08/E02-08-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-08/镜3","参见 offline-production/sound-music-cues.csv：E02-08","无","可用首尾帧约束；按设计时长回切"
"65","2","E02-08","4","192","87.5","90.5","8","3","3","中景","右摇","许知遥、程野","无核心道具","动作：程野取出发霉的值班日志。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-08\f4.png","","generated-videos/E02-08/E02-08-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-08/镜4","参见 offline-production/sound-music-cues.csv：E02-08","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"66","2","E02-09","1","195","90.5","94.5","0","4","4","特写","推镜","许知遥、程野","无核心道具","动作：许知遥翻到七月十九日。；许知遥：“一点二十分，许德海当班。”（读出记录）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f2.png","generated-videos/E02-09/E02-09-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-09/镜1","参见 offline-production/sound-music-cues.csv：E02-09","无","可用首尾帧约束；按设计时长回切"
"67","2","E02-09","2","199","94.5","99","4","4.5","5","特写","固定","程野","橙色应急电台","程野：“可一点四十七，报警器还在录音里。”（盯住两条时间）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f3.png","generated-videos/E02-09/E02-09-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-09/镜2","参见 offline-production/sound-music-cues.csv：E02-09","无","可用首尾帧约束；按设计时长回切"
"68","2","E02-09","3","203.5","99","103","8.5","4","4","中景","左摇","许知遥、程野","橙色应急电台","动作：许知遥把日志放到电台旁。；许知遥：“哥哥在这儿，爸却被写在船上。”（愤怒渐起）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-09\f3.png","","generated-videos/E02-09/E02-09-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-09/镜3","参见 offline-production/sound-music-cues.csv：E02-09","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"69","2","E02-10","1","207.5","103","107","0","4","4","中景","拉镜","许知遥、程野","无核心道具","动作：程野蹲在消防柜边。；程野：“许叔那天不是怕我找到船。”（终于直面记忆）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f2.png","generated-videos/E02-10/E02-10-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-10/镜1","参见 offline-production/sound-music-cues.csv：E02-10","无","可用首尾帧约束；按设计时长回切"
"70","2","E02-10","2","211.5","107","109","4","2","2","特写","固定","许知遥","无核心道具","许知遥：“那他怕什么？”（逼问）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f3.png","generated-videos/E02-10/E02-10-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-10/镜2","参见 offline-production/sound-music-cues.csv：E02-10","无","可用首尾帧约束；按设计时长回切"
"71","2","E02-10","3","213.5","109","113.5","6","4.5","5","全景","推镜","许知遥、程野","无核心道具","动作：程野抬头看向货仓深处。；程野：“他当时盯着这里，只说谁都不要再找。”（低声，留下疑点）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-10\f3.png","","generated-videos/E02-10/E02-10-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E02-10/镜3","参见 offline-production/sound-music-cues.csv：E02-10","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"72","3","E03-01","1","218","0","4","0","4","4","大特写","推镜","高嵩","无核心道具","动作：货仓侧门被巡场人员发现开启后，高嵩接到通知快步赶来，一把按住刚从消防柜取出的发霉值班日志。；高嵩：“旧纸受潮，碰坏了没人负责。”（温和，手没有松开）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f2.png","generated-videos/E03-01/E03-01-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-01/镜1","参见 offline-production/sound-music-cues.csv：E03-01","无","可用首尾帧约束；按设计时长回切"
"73","3","E03-01","2","222","4","8","4","4","4","大特写","固定","许知遥","无核心道具","动作：许知遥把值班日志从他手下抽走，并与程野带来的事故记录并排。；许知遥：“一点二十仍值班，一点四十七仍报警。”（冷静核对两条时间）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f3.png","generated-videos/E03-01/E03-01-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-01/镜2","参见 offline-production/sound-music-cues.csv：E03-01","无","可用首尾帧约束；按设计时长回切"
"74","3","E03-01","3","226","8","12","8","4","4","大特写","固定","程野","无核心道具","动作：程野的手指在值班日志与事故记录的时间栏之间移动。；程野：“可事故记录写他一点二十已经开船。”（简短，指出记录冲突）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f3.png","","generated-videos/E03-01/E03-01-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-01/镜3","参见 offline-production/sound-music-cues.csv：E03-01","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"75","3","E03-02","1","230","12","16","0","4","4","大特写","推镜","高嵩","无核心道具","动作：高嵩整理被碰皱的袖口。；高嵩：“十五年前的纸，能说明什么？”（保持笑意）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f2.png","generated-videos/E03-02/E03-02-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-02/镜1","参见 offline-production/sound-music-cues.csv：E03-02","无","可用首尾帧约束；按设计时长回切"
"76","3","E03-02","2","234","16","20","4","4","4","大特写","固定","许知遥","橙色应急电台","动作：许知遥把电台放到日志旁。；许知遥：“能说明你急着清掉这里。”（观察他的反应）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f3.png","generated-videos/E03-02/E03-02-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-02/镜2","参见 offline-production/sound-music-cues.csv：E03-02","无","可用首尾帧约束；按设计时长回切"
"77","3","E03-02","3","238","20","23.5","8","3.5","4","特写","固定","高嵩","无核心道具","高嵩：“我是在替你父亲留体面。”（替她定义利害）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f3.png","","generated-videos/E03-02/E03-02-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-02/镜3","参见 offline-production/sound-music-cues.csv：E03-02","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"78","3","E03-03","1","241.5","23.5","27.5","0","4","4","特写","推镜","许知遥、高嵩","无核心道具","动作：他把责任书推到许知遥面前。；高嵩：“签名是他的，责任也是他的。”（音量不高，句句压人）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f2.png","generated-videos/E03-03/E03-03-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-03/镜1","参见 offline-production/sound-music-cues.csv：E03-03","无","可用首尾帧约束；按设计时长回切"
"79","3","E03-03","2","245.5","27.5","31.5","4","4","4","特写","固定","许知遥","无核心道具","动作：许知遥拿起责任书。；许知遥：“一点四十七，他不在船上。”（逐字核对）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f3.png","generated-videos/E03-03/E03-03-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-03/镜2","参见 offline-production/sound-music-cues.csv：E03-03","无","可用首尾帧约束；按设计时长回切"
"80","3","E03-03","3","249.5","31.5","35.5","8","4","4","大特写","固定","许知遥、程野","橙色应急电台","高嵩：“录音修出来什么，全凭你说。”（轻描淡写）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f3.png","","generated-videos/E03-03/E03-03-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-03/镜3","参见 offline-production/sound-music-cues.csv：E03-03","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"81","3","E03-04","1","253.5","35.5","39.5","0","4","4","大特写","推镜","程野","橙色应急电台","动作：程野挡在电台前。；程野：“报警器不会替她撒谎。”（低沉）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f2.png","generated-videos/E03-04/E03-04-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-04/镜1","参见 offline-production/sound-music-cues.csv：E03-04","无","可用首尾帧约束；按设计时长回切"
"82","3","E03-04","2","257.5","39.5","43","4","3.5","4","中景","右摇","高嵩","无核心道具","动作：货仓外传来拆迁设备启动声。；动作：高嵩转身走向门口。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f3.png","generated-videos/E03-04/E03-04-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-04/镜2","参见 offline-production/sound-music-cues.csv：E03-04","无","可用首尾帧约束；按设计时长回切"
"83","3","E03-04","3","261","43","48","7.5","5","5","特写","固定","高嵩","无核心道具","高嵩：“我给你们十分钟。”（平静施压）；高嵩：“遗物交给我，旧事到此为止。”（像谈交易）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f3.png","","generated-videos/E03-04/E03-04-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-04/镜3","参见 offline-production/sound-music-cues.csv：E03-04","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"84","3","E03-05","1","266","48","51.5","0","3.5","4","全景","跟拍","高嵩、程野","无核心道具","动作：他走出货仓接起电话。；动作：程野重新蹲到消防柜前。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-05\f2.png","generated-videos/E03-05/E03-05-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-05/镜1","参见 offline-production/sound-music-cues.csv：E03-05","无","可用首尾帧约束；按设计时长回切"
"85","3","E03-05","2","269.5","51.5","55","3.5","3.5","4","大特写","固定","程野","橙色应急电台","动作：他从夹层抽出油纸包裹的清单。；程野：“他怕的不是电台，是这个。”（压低声音）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-05\f2.png","","generated-videos/E03-05/E03-05-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-05/镜2","参见 offline-production/sound-music-cues.csv：E03-05","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"86","3","E03-06","1","273","55","58.5","0","3.5","4","大特写","固定","许知遥","无核心道具","动作：许知遥把高嵩私章与六行数量拍进手机。；许知遥：“先留副本。”（恢复专业冷静）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f2.png","generated-videos/E03-06/E03-06-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-06/镜1","参见 offline-production/sound-music-cues.csv：E03-06","无","可用首尾帧约束；按设计时长回切"
"87","3","E03-06","2","276.5","58.5","62","3.5","3.5","4","大特写","跟拍","许知遥、程野","黄铜船钥匙","动作：许知遥把黄铜钥匙放到清单旁。；动作：程野查看钥匙环上的两道压痕。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f3.png","generated-videos/E03-06/E03-06-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-06/镜2","参见 offline-production/sound-music-cues.csv：E03-06","无","可用首尾帧约束；按设计时长回切"
"88","3","E03-06","3","280","62","65","7","3","3","特写","固定","程野","黄铜船钥匙","程野：“这不像普通磨损。”（低声确认）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-06\f3.png","","generated-videos/E03-06/E03-06-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-06/镜3","参见 offline-production/sound-music-cues.csv：E03-06","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"89","3","E03-07","1","283","65","68.5","0","3.5","4","大特写","跟拍","许知遥","橙色应急电台","动作：许知遥抱着电台快步回到修复台前。；动作：她插入已经保存的原始副本。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f2.png","generated-videos/E03-07/E03-07-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-07/镜1","参见 offline-production/sound-music-cues.csv：E03-07","无","可用首尾帧约束；按设计时长回切"
"90","3","E03-07","2","286.5","68.5","71.5","3.5","3","3","特写","固定","许知遥","无核心道具","许知遥：“蜂鸣之后还有人声。”（盯住波形）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f3.png","generated-videos/E03-07/E03-07-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-07/镜2","参见 offline-production/sound-music-cues.csv：E03-07","无","可用首尾帧约束；按设计时长回切"
"91","3","E03-07","3","289.5","71.5","75","6.5","3.5","4","中景","固定","许知遥、程野","无核心道具","动作：程野关上房门。；动作：许知遥提高蜂鸣后的低频人声。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f4.png","generated-videos/E03-07/E03-07-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-07/镜3","参见 offline-production/sound-music-cues.csv：E03-07","无","可用首尾帧约束；按设计时长回切"
"92","3","E03-07","4","293","75","78","10","3","3","特写","推镜","许知遥、程野","无核心道具","许潮：“爸被他们按在货仓里。”（录音，压低声音）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-07\f4.png","","generated-videos/E03-07/E03-07-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-07/镜4","参见 offline-production/sound-music-cues.csv：E03-07","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"93","3","E03-08","1","296","78","81.5","0","3.5","4","大特写","固定","许知遥","橙色应急电台","动作：许知遥的手停在播放键上。；许知遥：“他在货仓。”（确认事实，气息发紧）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f2.png","generated-videos/E03-08/E03-08-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-08/镜1","参见 offline-production/sound-music-cues.csv：E03-08","无","可用首尾帧约束；按设计时长回切"
"94","3","E03-08","2","299.5","81.5","84.5","3.5","3","3","特写","固定","程野","无核心道具","程野：“所以他不可能开船。”（立刻接上证据链）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f3.png","generated-videos/E03-08/E03-08-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-08/镜2","参见 offline-production/sound-music-cues.csv：E03-08","无","可用首尾帧约束；按设计时长回切"
"95","3","E03-08","3","302.5","84.5","88","6.5","3.5","4","大特写","推镜","许知遥、程野","橙色应急电台","动作：录音里传来铁门撞击声。；许德海：“不能开船！”（录音远声，粗哑用力）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f4.png","generated-videos/E03-08/E03-08-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-08/镜3","参见 offline-production/sound-music-cues.csv：E03-08","无","可用首尾帧约束；按设计时长回切"
"96","3","E03-08","4","306","88","91.5","10","3.5","4","特写","固定","许知遥、程野","黄铜船钥匙","许潮：“爸咬着正钥匙，抱着栏杆。”（录音，急促喘息）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-08\f4.png","","generated-videos/E03-08/E03-08-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-08/镜4","参见 offline-production/sound-music-cues.csv：E03-08","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"97","3","E03-09","1","309.5","91.5","95","0","3.5","4","特写","固定","许知遥","无核心道具","动作：许知遥从修复台前站起来。；许知遥：“他签字，不等于他开船。”（克制而确定）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f2.png","generated-videos/E03-09/E03-09-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-09/镜1","参见 offline-production/sound-music-cues.csv：E03-09","无","可用首尾帧约束；按设计时长回切"
"98","3","E03-09","2","313","95","98.5","3.5","3.5","4","大特写","推镜","许知遥、程野","橙色应急电台","动作：录音远处传来高嵩的喊声。；高嵩：“拿备用钥匙！”（录音远声，命令）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f3.png","generated-videos/E03-09/E03-09-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-09/镜2","参见 offline-production/sound-music-cues.csv：E03-09","无","可用首尾帧约束；按设计时长回切"
"99","3","E03-09","3","316.5","98.5","102","7","3.5","4","特写","固定","许知遥、程野","无核心道具","动作：发动机声盖过报警蜂鸣。；许潮：“船开了。爸还在这里。”（录音，恐惧却清楚）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f4.png","generated-videos/E03-09/E03-09-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-09/镜3","参见 offline-production/sound-music-cues.csv：E03-09","无","可用首尾帧约束；按设计时长回切"
"100","3","E03-09","4","320","102","105.5","10.5","3.5","4","特写","固定","许知遥","无核心道具","动作：许知遥摘下耳机。；许知遥：“开船的是高嵩。”（结论落定）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-09\f4.png","","generated-videos/E03-09/E03-09-f4-v01.mp4","参见 offline-production/dialogue-cues.csv：E03-09/镜4","参见 offline-production/sound-music-cues.csv：E03-09","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
